model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,selected_profile,pause_validation_auprc,pause_validation_fold_mean_auprc,hgb_validation_status,hgb_validation_auprc,hgb_validation_fold_mean_auprc,hgb_test_status,hgb_test_auprc,hgb_test_deduplicated_auprc,pause_test_auprc,pause_test_deduplicated_auprc,delta_validation_auprc,delta_validation_fold_mean_auprc,delta_test_auprc,delta_test_deduplicated_auprc
DrugBAN,biosnap,seed_8,target,base,0.9,0.2,prior,0.40511921502,0.441768164839,complete,0.361233355501,0.428253238816,complete,0.59258240558,,0.282361749431,,-0.043885859519,-0.013514926023,0.310220656149,
DrugBAN,human,seed_4,drug,base,0.8,0.1,uncertainty,0.090909090909,,insufficient_residual_n,,,insufficient_residual_n,,,0.25,0.25,,,,
DrugBAN,human,seed_4,drug,base,0.8,0.2,uncertainty,0.1,,insufficient_residual_n,,,insufficient_residual_n,,,0.333333333333,0.333333333333,,,,
DrugBAN,human,seed_4,drug,base,0.9,0.1,uncertainty,0.333333333333,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_4,drug,base,0.9,0.2,uncertainty,0.333333333333,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,uncertainty,0.1,,insufficient_residual_n,,,insufficient_residual_n,,,0.25,0.25,,,,
DrugBAN,human,seed_4,target,base,0.8,0.2,uncertainty,0.111111111111,,insufficient_residual_n,,,insufficient_residual_n,,,0.333333333333,0.333333333333,,,,
DrugBAN,human,seed_4,target,base,0.9,0.1,uncertainty,0.5,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_4,target,base,0.9,0.2,uncertainty,0.5,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,human,seed_5,drug,base,0.8,0.1,uncertainty,0.164021164021,,group_cv_unavailable,,,complete,0.181818181818,0.217391304348,0.367731456384,0.38292561469,,,-0.185913274566,-0.165534310342
DrugBAN,human,seed_5,drug,base,0.8,0.2,uncertainty,0.220538720539,,group_cv_unavailable,,,complete,0.142857142857,0.175,0.231651138716,0.255102040816,,,-0.088793995859,-0.080102040816
DrugBAN,human,seed_5,drug,base,0.9,0.1,uncertainty,1.0,,insufficient_residual_n,,,insufficient_residual_n,,,0.25,0.366666666667,,,,
