model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,43,4,39,3.0,0.076923076923,0.101851851852,0.056005398111,2,0.0,0.0,0.0,0.0,0.25,0.918918918919,-0.004158004158,6,0.139534883721,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,group_cv_unavailable,,,,43,4,0,0.0,,,,0,,,,,,,,4,0.093023255814,,,,,,,,,,,,,
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,71,7,64,12.0,0.1875,0.775641025641,0.505842807439,3,2.0,0.666666666667,3.555555555556,0.166666666667,0.285714285714,0.83606557377,0.02356557377,10,0.140845070423,56.0,12.0,0.214285714286,0.784090909091,0.564617808872,3.0,2.0,0.666666666667,3.111111111111,0.166666666667,0.285714285714,0.811320754717,0.025606469003
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,71,7,64,12.0,0.1875,0.557692307692,0.265393743962,3,1.0,0.333333333333,1.777777777778,0.083333333333,0.214285714286,0.819672131148,0.007172131148,10,0.140845070423,56.0,12.0,0.214285714286,0.549242424242,0.282159401855,3.0,1.0,0.333333333333,1.555555555556,0.083333333333,0.214285714286,0.792452830189,0.006738544474
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,71,7,64,12.0,0.1875,0.544871794872,0.251237037648,3,1.0,0.333333333333,1.777777777778,0.083333333333,0.214285714286,0.819672131148,0.007172131148,10,0.140845070423,56.0,12.0,0.214285714286,0.537878787879,0.270750039917,3.0,1.0,0.333333333333,1.555555555556,0.083333333333,0.214285714286,0.792452830189,0.006738544474
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,71,7,64,12.0,0.1875,0.794871794872,0.628768796626,3,3.0,1.0,5.333333333333,0.25,0.357142857143,0.852459016393,0.039959016393,10,0.140845070423,56.0,12.0,0.214285714286,0.780303030303,0.636616161616,3.0,3.0,1.0,4.666666666667,0.25,0.357142857143,0.830188679245,0.044474393531
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,71,7,64,12.0,0.1875,0.804487179487,0.597388469982,3,2.0,0.666666666667,3.555555555556,0.166666666667,0.285714285714,0.83606557377,0.02356557377,10,0.140845070423,56.0,12.0,0.214285714286,0.782196969697,0.601012667888,3.0,2.0,0.666666666667,3.111111111111,0.166666666667,0.285714285714,0.811320754717,0.025606469003
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,71,7,64,12.0,0.1875,0.775641025641,0.505842807439,3,2.0,0.666666666667,3.555555555556,0.166666666667,0.285714285714,0.83606557377,0.02356557377,10,0.140845070423,56.0,12.0,0.214285714286,0.784090909091,0.564617808872,3.0,2.0,0.666666666667,3.111111111111,0.166666666667,0.285714285714,0.811320754717,0.025606469003
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,71,7,64,12.0,0.1875,0.283653846154,0.210827826833,3,1.0,0.333333333333,1.777777777778,0.083333333333,0.214285714286,0.819672131148,0.007172131148,10,0.140845070423,56.0,12.0,0.214285714286,0.306818181818,0.234695093172,3.0,1.0,0.333333333333,1.555555555556,0.083333333333,0.214285714286,0.792452830189,0.006738544474
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,71,7,64,12.0,0.1875,0.309294871795,0.218768803319,3,1.0,0.333333333333,1.777777777778,0.083333333333,0.214285714286,0.819672131148,0.007172131148,10,0.140845070423,56.0,12.0,0.214285714286,0.32196969697,0.242224260678,3.0,1.0,0.333333333333,1.555555555556,0.083333333333,0.214285714286,0.792452830189,0.006738544474
