model,dataset,test_run,group_axis,review_fraction,mean_universe_n,mean_universe_error_count,mean_reviewed_n,mean_uncertainty_review_error_rate_at_k,mean_oracle_review_error_rate_at_k,mean_max_possible_review_error_rate_gain_over_uncertainty,mean_uncertainty_error_recall_at_k,mean_oracle_error_recall_at_k,mean_max_possible_error_recall_gain_over_uncertainty,mean_max_possible_review_error_count_gain_over_uncertainty,mean_uncertainty_fraction_of_oracle_error_count
DrugBAN,human,seed_5,target,0.1,35.75,5.25,3.25,0.2333333333333333,1.0,0.7666666666666666,0.147619047619,0.5785714285714285,0.6238095238095714,3.0,0.2333333333333333
DrugBAN,human,seed_5,target,0.2,35.75,5.25,6.25,0.3045454545453333,0.703030303030303,0.3984848484849697,0.442857142857,0.75,0.5571428571429999,3.6666666666666665,0.44285714285714284
DrugBAN,human,seed_6,drug,0.05,10.25,1.25,0.0,,,,,0.0,,,
DrugBAN,human,seed_6,drug,0.1,10.25,1.25,0.0,,,,,0.0,,,
DrugBAN,human,seed_6,drug,0.2,10.25,1.25,0.0,,,,,0.0,,,
DrugBAN,human,seed_6,target,0.05,10.25,1.25,0.0,,,,,0.0,,,
DrugBAN,human,seed_6,target,0.1,10.25,1.25,0.0,,,,,0.0,,,
DrugBAN,human,seed_6,target,0.2,10.25,1.25,0.0,,,,,0.0,,,
DrugBAN,human,seed_7,drug,0.05,27.0,0.75,1.0,0.0,0.75,0.75,0.0,1.0,1.0,1.5,0.0
DrugBAN,human,seed_7,drug,0.1,27.0,0.75,1.75,0.125,0.41666666666666663,0.29166666666666663,0.25,1.0,0.75,1.0,0.25
DrugBAN,human,seed_7,drug,0.2,27.0,0.75,3.75,0.0625,0.19642857142857142,0.13392857142857142,0.25,1.0,0.75,1.0,0.25
DrugBAN,human,seed_7,target,0.05,27.0,0.75,1.0,0.0,0.75,0.75,0.0,1.0,1.0,1.5,0.0
DrugBAN,human,seed_7,target,0.1,27.0,0.75,1.75,0.125,0.41666666666666663,0.29166666666666663,0.25,1.0,0.75,1.0,0.25
DrugBAN,human,seed_7,target,0.2,27.0,0.75,3.75,0.0625,0.19642857142857142,0.13392857142857142,0.25,1.0,0.75,1.0,0.25
DrugBAN,human,seed_8,drug,0.05,56.25,7.25,2.75,0.25,1.0,0.75,0.077380952381,0.41964285714285715,0.34226190476185714,2.0,0.25
DrugBAN,human,seed_8,drug,0.1,56.25,7.25,5.75,0.34166666666675,0.95,0.60833333333325,0.26488095238075005,0.8392857142857143,0.5744047619049643,3.5,0.35416666666666663
