model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,n_test,n_high_conf_positive,deferred_n,n_residual_candidates,n_residual_errors,residual_error_prevalence,candidate_error_count
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,1779,215,43,172,31.0,0.18023255813953487,41.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,1779,94,9,85,13.0,0.15294117647058825,15.0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,1779,94,19,75,10.0,0.13333333333333333,15.0
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,1779,187,19,168,35.0,0.20833333333333334,37.0
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,1779,187,37,150,33.0,0.22,37.0
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,1779,38,4,34,2.0,0.058823529411764705,3.0
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,1779,38,8,30,1.0,0.03333333333333333,3.0
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,1779,187,19,168,35.0,0.20833333333333334,37.0
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,1779,187,37,150,33.0,0.22,37.0
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,1779,38,4,34,2.0,0.058823529411764705,3.0
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,1779,38,8,30,1.0,0.03333333333333333,3.0
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,1779,53,5,48,6.0,0.125,6.0
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,1779,53,11,42,4.0,0.09523809523809523,6.0
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,1779,4,0,4,0.0,0.0,0.0
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,1779,4,1,3,0.0,0.0,0.0
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,1779,53,5,48,6.0,0.125,6.0
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,1779,53,11,42,4.0,0.09523809523809523,6.0
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,1779,4,0,4,0.0,0.0,0.0
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,1779,4,1,3,0.0,0.0,0.0
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,1779,76,8,68,16.0,0.23529411764705882,19.0
