model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_profile,selection_reason,review_error_count,review_error_rate,review_recall_of_residual_errors,delta_review_error_rate_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,universe_n,universe_error_count,reviewed_n,uncertainty_review_error_rate_at_k,uncertainty_error_recall_at_k,oracle_review_error_rate_at_k,oracle_error_recall_at_k,max_possible_review_error_count_gain_over_uncertainty,max_possible_review_error_rate_gain_over_uncertainty,max_possible_error_recall_gain_over_uncertainty,uncertainty_fraction_of_oracle_error_count,pause_fraction_of_oracle_rate_headroom,pause_fraction_of_oracle_recall_headroom,pause_review_error_rate_gap_to_oracle,pause_error_recall_gap_to_oracle
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,prior,one_standard_error,5.0,0.208333333333,0.625,0.125,0.375,118,8.0,24,0.083333333333,0.25,0.3333333333333333,1.0,6.0,0.2500000000003333,0.75,0.25,0.4999999999993334,0.5,0.12500000000033332,0.375
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.05,uncertainty_support,one_standard_error,4.0,0.5,0.285714285714,0.125,0.071428571429,158,14.0,8,0.375,0.214285714286,1.0,0.5714285714285714,5.0,0.625,0.3571428571425714,0.375,0.2,0.20000000000136003,0.5,0.2857142857145714
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.1,uncertainty_support,one_standard_error,7.0,0.4375,0.5,0.1875,0.214285714286,158,14.0,16,0.25,0.285714285714,0.875,1.0,10.0,0.625,0.714285714286,0.2857142857142857,0.3,0.30000000000028,0.4375,0.5
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,uncertainty_support,one_standard_error,10.0,0.3125,0.714285714286,0.125,0.285714285714,158,14.0,32,0.1875,0.428571428571,0.4375,1.0,8.0,0.25,0.5714285714289999,0.4285714285714285,0.5,0.49999999999912503,0.125,0.28571428571400004
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.05,uncertainty_support,one_standard_error,3.0,0.428571428571,0.3,0.285714285714,0.2,141,10.0,7,0.142857142857,0.1,1.0,0.7,6.0,0.857142857143,0.6,0.1428571428571428,0.33333333333294446,0.33333333333333337,0.5714285714289999,0.39999999999999997
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.1,uncertainty_support,one_standard_error,5.0,0.357142857143,0.5,0.214285714286,0.3,141,10.0,14,0.142857142857,0.2,0.7142857142857143,1.0,8.0,0.5714285714287143,0.8,0.2,0.37500000000040623,0.37499999999999994,0.3571428571427143,0.5
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,uncertainty_support,one_standard_error,8.0,0.285714285714,0.8,0.214285714286,0.6,141,10.0,28,0.071428571429,0.2,0.3571428571428571,1.0,8.0,0.2857142857138571,0.8,0.2,0.7500000000021251,0.7499999999999999,0.07142857142885711,0.19999999999999996
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.05,uncertainty_support,one_standard_error,3.0,0.428571428571,0.333333333333,0.285714285714,0.222222222222,132,9.0,7,0.142857142857,0.111111111111,1.0,0.7777777777777778,6.0,0.857142857143,0.6666666666667778,0.1428571428571428,0.33333333333294446,0.33333333333294446,0.5714285714289999,0.44444444444477776
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.1,uncertainty_support,one_standard_error,5.0,0.384615384615,0.555555555556,0.307692307692,0.444444444444,132,9.0,13,0.076923076923,0.111111111111,0.6923076923076923,1.0,8.0,0.6153846153846922,0.888888888889,0.1111111111111111,0.49999999999943756,0.4999999999994375,0.3076923076926923,0.444444444444
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,uncertainty_support,one_standard_error,8.0,0.307692307692,0.888888888889,0.269230769231,0.777777777778,132,9.0,26,0.038461538462,0.111111111111,0.3461538461538461,1.0,8.0,0.3076923076918461,0.888888888889,0.1111111111111111,0.8750000000020627,0.8750000000001406,0.03846153846184608,0.11111111111100003
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.05,uncertainty_support,one_standard_error,2.0,0.333333333333,0.25,0.333333333333,0.25,118,8.0,6,0.0,0.0,1.0,0.75,6.0,1.0,0.75,0.0,0.333333333333,0.3333333333333333,0.666666666667,0.5
