split,model,dataset,test_run,group_axis,confidence_source,profile_label,auprc,delta_auprc_vs_U
test,TAPB,bindingdb,seed_7,drug,base,U+P+E,0.612114,0.28258950000000005
test,TAPB,bindingdb,seed_8,drug,base,U+P+E,0.541404,0.17230849999999998
test,TAPB,biosnap,seed_4,drug,base,U+P+E,0.3783655,0.20862750000000002
test,TAPB,biosnap,seed_5,drug,base,U+P+E,0.249337,0.11210300000000001
test,TAPB,biosnap,seed_6,drug,base,U+P+E,0.29306774999999996,0.17000799999999994
test,TAPB,biosnap,seed_7,drug,base,U+P+E,0.4028965,0.16025625
test,TAPB,biosnap,seed_8,drug,base,U+P+E,0.47601925,0.25686125000000004
test,TAPB,human,seed_4,drug,base,U+P+E,0.45323225,-0.02014349999999998
test,TAPB,human,seed_5,drug,base,U+P+E,0.32105,-0.048709999999999976
test,TAPB,human,seed_6,drug,base,U+P+E,0.7208245,0.5031015
test,TAPB,human,seed_7,drug,base,U+P+E,0.5313945,0.174056
test,TAPB,human,seed_8,drug,base,U+P+E,0.55306825,0.14940775000000006
test,DrugBAN,bindingdb,seed_4,drug,base,Validation-selected PAUSE,0.5671484999999999,0.06966974999999997
test,DrugBAN,bindingdb,seed_5,drug,base,Validation-selected PAUSE,0.42133525,0.16804075000000002
test,DrugBAN,bindingdb,seed_6,drug,base,Validation-selected PAUSE,0.49192175,0.34798275
test,DrugBAN,bindingdb,seed_7,drug,base,Validation-selected PAUSE,0.724472,0.3922435
test,DrugBAN,bindingdb,seed_8,drug,base,Validation-selected PAUSE,1.0,0.6291665
test,DrugBAN,biosnap,seed_4,drug,base,Validation-selected PAUSE,0.5744165,0.282186
test,DrugBAN,biosnap,seed_5,drug,base,Validation-selected PAUSE,0.69188775,0.34492075000000005
test,DrugBAN,biosnap,seed_6,drug,base,Validation-selected PAUSE,0.50484275,0.21954725000000003
test,DrugBAN,biosnap,seed_7,drug,base,Validation-selected PAUSE,0.8112297500000001,0.35740400000000005
test,DrugBAN,biosnap,seed_8,drug,base,Validation-selected PAUSE,0.59121175,0.298503
test,DrugBAN,human,seed_4,drug,base,Validation-selected PAUSE,0.2916665,0.0
test,DrugBAN,human,seed_5,drug,base,Validation-selected PAUSE,0.3873455,0.0
test,DrugBAN,human,seed_6,drug,base,Validation-selected PAUSE,0.5569445,0.0
test,DrugBAN,human,seed_7,drug,base,Validation-selected PAUSE,0.1429825,0.0
test,DrugBAN,human,seed_8,drug,base,Validation-selected PAUSE,0.25768975,-0.03133524999999998
test,PACE,bindingdb,seed_4,drug,base,Validation-selected PAUSE,0.41676575,0.20610725
test,PACE,bindingdb,seed_5,drug,base,Validation-selected PAUSE,0.71962625,0.51694625
test,PACE,bindingdb,seed_6,drug,base,Validation-selected PAUSE,0.419452,0.12413099999999999
test,PACE,bindingdb,seed_7,drug,base,Validation-selected PAUSE,0.46260999999999997,-0.10698050000000003
test,PACE,bindingdb,seed_8,drug,base,Validation-selected PAUSE,0.55197025,0.31113875
test,PACE,biosnap,seed_4,drug,base,Validation-selected PAUSE,0.54269875,0.285457
test,PACE,biosnap,seed_5,drug,base,Validation-selected PAUSE,0.43083875,0.27921399999999996
test,PACE,biosnap,seed_6,drug,base,Validation-selected PAUSE,0.36196025,0.167132
test,PACE,biosnap,seed_7,drug,base,Validation-selected PAUSE,0.22940425,-0.01096875
test,PACE,biosnap,seed_8,drug,base,Validation-selected PAUSE,0.45309125,0.23186
test,PACE,human,seed_4,drug,base,Validation-selected PAUSE,0.54998075,-0.006325249999999949
test,PACE,human,seed_5,drug,base,Validation-selected PAUSE,0.36595975000000003,-0.03968724999999995
test,PACE,human,seed_6,drug,base,Validation-selected PAUSE,0.49422374999999996,-0.0053557499999999925
test,PACE,human,seed_7,drug,base,Validation-selected PAUSE,0.483781,0.0
test,PACE,human,seed_8,drug,base,Validation-selected PAUSE,0.303599,0.0
test,TAPB,bindingdb,seed_4,drug,base,Validation-selected PAUSE,,
test,TAPB,bindingdb,seed_5,drug,base,Validation-selected PAUSE,0.5465297499999999,0.12553124999999993
test,TAPB,bindingdb,seed_6,drug,base,Validation-selected PAUSE,,
test,TAPB,bindingdb,seed_7,drug,base,Validation-selected PAUSE,0.5747595,0.24523499999999998
test,TAPB,bindingdb,seed_8,drug,base,Validation-selected PAUSE,0.5201945,0.15109899999999998
test,TAPB,biosnap,seed_4,drug,base,Validation-selected PAUSE,0.39293,0.223192
test,TAPB,biosnap,seed_5,drug,base,Validation-selected PAUSE,0.207824,0.07059000000000001
test,TAPB,biosnap,seed_6,drug,base,Validation-selected PAUSE,0.17548724999999998,0.052427499999999974
test,TAPB,biosnap,seed_7,drug,base,Validation-selected PAUSE,0.3317345,0.08909424999999999
test,TAPB,biosnap,seed_8,drug,base,Validation-selected PAUSE,0.38023175,0.16107375
test,TAPB,human,seed_4,drug,base,Validation-selected PAUSE,0.47337575,0.0
test,TAPB,human,seed_5,drug,base,Validation-selected PAUSE,0.38571225,0.01595225
test,TAPB,human,seed_6,drug,base,Validation-selected PAUSE,0.3243415,0.1066185
test,TAPB,human,seed_7,drug,base,Validation-selected PAUSE,0.3930135,0.03567500000000001
test,TAPB,human,seed_8,drug,base,Validation-selected PAUSE,0.4036605,0.0
test,DrugBAN,bindingdb,seed_4,target,base,U,0.49747874999999997,0.0
test,DrugBAN,bindingdb,seed_5,target,base,U,0.2532945,0.0
test,DrugBAN,bindingdb,seed_6,target,base,U,0.14393899999999998,0.0
test,DrugBAN,bindingdb,seed_7,target,base,U,0.3322285,0.0
test,DrugBAN,bindingdb,seed_8,target,base,U,0.37083350000000004,0.0
test,DrugBAN,biosnap,seed_4,target,base,U,0.2922305,0.0
test,DrugBAN,biosnap,seed_5,target,base,U,0.34696699999999997,0.0
test,DrugBAN,biosnap,seed_6,target,base,U,0.2852955,0.0
test,DrugBAN,biosnap,seed_7,target,base,U,0.45382575,0.0
test,DrugBAN,biosnap,seed_8,target,base,U,0.29270875,0.0
test,DrugBAN,human,seed_4,target,base,U,0.2916665,0.0
test,DrugBAN,human,seed_5,target,base,U,0.3873455,0.0
test,DrugBAN,human,seed_6,target,base,U,0.5569445,0.0
test,DrugBAN,human,seed_7,target,base,U,0.1429825,0.0
test,DrugBAN,human,seed_8,target,base,U,0.289025,0.0
test,PACE,bindingdb,seed_4,target,base,U,0.2106585,0.0
test,PACE,bindingdb,seed_5,target,base,U,0.20268,0.0
test,PACE,bindingdb,seed_6,target,base,U,0.295321,0.0
test,PACE,bindingdb,seed_7,target,base,U,0.5695905,0.0
test,PACE,bindingdb,seed_8,target,base,U,0.2408315,0.0
test,PACE,biosnap,seed_4,target,base,U,0.25724175,0.0
test,PACE,biosnap,seed_5,target,base,U,0.15162475,0.0
test,PACE,biosnap,seed_6,target,base,U,0.19482824999999998,0.0
test,PACE,biosnap,seed_7,target,base,U,0.240373,0.0
test,PACE,biosnap,seed_8,target,base,U,0.22123125,0.0
test,PACE,human,seed_4,target,base,U,0.556306,0.0
test,PACE,human,seed_5,target,base,U,0.405647,0.0
test,PACE,human,seed_6,target,base,U,0.49957949999999995,0.0
test,PACE,human,seed_7,target,base,U,0.483781,0.0
test,PACE,human,seed_8,target,base,U,0.303599,0.0
test,TAPB,bindingdb,seed_4,target,base,U,,
test,TAPB,bindingdb,seed_5,target,base,U,0.4209985,0.0
test,TAPB,bindingdb,seed_6,target,base,U,,
test,TAPB,bindingdb,seed_7,target,base,U,0.3295245,0.0
test,TAPB,bindingdb,seed_8,target,base,U,0.3690955,0.0
test,TAPB,biosnap,seed_4,target,base,U,0.169738,0.0
test,TAPB,biosnap,seed_5,target,base,U,0.137234,0.0
test,TAPB,biosnap,seed_6,target,base,U,0.12305975000000001,0.0
test,TAPB,biosnap,seed_7,target,base,U,0.24264025,0.0
test,TAPB,biosnap,seed_8,target,base,U,0.219158,0.0
test,TAPB,human,seed_4,target,base,U,0.47337575,0.0
test,TAPB,human,seed_5,target,base,U,0.36976,0.0
test,TAPB,human,seed_6,target,base,U,0.217723,0.0
test,TAPB,human,seed_7,target,base,U,0.3573385,0.0
test,TAPB,human,seed_8,target,base,U,0.4036605,0.0
test,DrugBAN,bindingdb,seed_4,target,base,P,0.543575,0.04609625000000006
test,DrugBAN,bindingdb,seed_5,target,base,P,0.1758825,-0.07741199999999998
test,DrugBAN,bindingdb,seed_6,target,base,P,0.18716075,0.04322175
test,DrugBAN,bindingdb,seed_7,target,base,P,0.40574475,0.07351625
test,DrugBAN,bindingdb,seed_8,target,base,P,0.333333,-0.03750050000000005
test,DrugBAN,biosnap,seed_4,target,base,P,0.3232935,0.031063000000000007
test,DrugBAN,biosnap,seed_5,target,base,P,0.4130265,0.06605950000000005
test,DrugBAN,biosnap,seed_6,target,base,P,0.353334,0.0680385
test,DrugBAN,biosnap,seed_7,target,base,P,0.58448525,0.13065949999999993
test,DrugBAN,biosnap,seed_8,target,base,P,0.3188495,0.02614074999999999
test,DrugBAN,human,seed_4,target,base,P,,
test,DrugBAN,human,seed_5,target,base,P,0.30075,-0.08659549999999999
test,DrugBAN,human,seed_6,target,base,P,,
test,DrugBAN,human,seed_7,target,base,P,0.11901700000000001,-0.0239655
test,DrugBAN,human,seed_8,target,base,P,0.2073045,-0.08172049999999997
test,PACE,bindingdb,seed_4,target,base,P,0.2615265,0.050868
test,PACE,bindingdb,seed_5,target,base,P,0.19571750000000002,-0.006962499999999983
test,PACE,bindingdb,seed_6,target,base,P,0.257389,-0.03793200000000002
test,PACE,bindingdb,seed_7,target,base,P,0.559935,-0.009655500000000039
test,PACE,bindingdb,seed_8,target,base,P,0.21867875,-0.02215275
test,PACE,biosnap,seed_4,target,base,P,0.33849975,0.081258
test,PACE,biosnap,seed_5,target,base,P,0.3131205,0.16149575000000002
test,PACE,biosnap,seed_6,target,base,P,0.24158125,0.04675300000000002
test,PACE,biosnap,seed_7,target,base,P,0.18333375,-0.057039250000000014
test,PACE,biosnap,seed_8,target,base,P,0.32671700000000004,0.10548575000000004
test,PACE,human,seed_4,target,base,P,0.53358475,-0.022721249999999915
test,PACE,human,seed_5,target,base,P,0.42349475000000003,0.01784775000000005
test,PACE,human,seed_6,target,base,P,0.5124965,0.012917000000000067
test,PACE,human,seed_7,target,base,P,0.42176800000000003,-0.062012999999999985
test,PACE,human,seed_8,target,base,P,0.266115,-0.03748400000000002
test,TAPB,bindingdb,seed_4,target,base,P,,
