model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_v2_profile,selection_metric,validation_metric,validation_gain_vs_U,fallback_reason,u_validation_error_detection_auprc,u2_validation_error_detection_auprc,ue2_validation_error_detection_auprc,u2e2_validation_error_detection_auprc,min_validation_gain,selection_reason
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.139361,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.139361,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.249326,0.017086,,0.23224,0.228579,0.249326,0.243615,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.229282,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.229282,0.188965,0.228678,0.228651,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.25355,0.014389,,0.239162,0.189127,0.247967,0.25355,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.438483,0.185907,,0.252576,0.193677,0.438483,0.419879,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,U2,validation_error_detection_auprc,0.330919,0.206621,,0.124298,0.330919,0.100957,0.153166,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,U2,validation_error_detection_auprc,0.424321,0.295504,,0.128817,0.424321,0.089725,0.145621,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.076923,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.076923,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.1,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.1,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.226841,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.226841,0.136315,0.208961,0.186583,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.230062,0.063706,,0.166356,0.160782,0.230062,0.199617,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.066667,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.066667,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.083333,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.083333,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.193147,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.193147,0.181686,0.15595,0.137392,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,U2,validation_error_detection_auprc,0.270672,0.034207,,0.236465,0.270672,0.188408,0.200644,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.045178,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.045178,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.050681,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.050681,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.320916,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.320916,0.239895,0.248355,0.230977,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.250433,0.016317,,0.234116,0.211125,0.250433,0.249238,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.038075,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.038075,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.176923,0.129915,,0.047009,0.032738,0.15,0.176923,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,U2,validation_error_detection_auprc,0.253097,0.024758,,0.228339,0.253097,0.192585,0.233262,0.005,validation_gain_vs_U_meets_threshold
