scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,96,96,120,24,0.6875,0.363588,0.240935,0.122654,0.122654,-0.104464,0.5,,bindingdb,
dataset,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,96,96,120,24,0.6875,0.037396,0.013559,0.023837,0.023837,-0.024843,0.089958,,bindingdb,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,120,120,120,0,0.833333,0.300833,0.242611,0.058222,0.058222,-0.088788,0.177343,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,120,120,120,0,0.975,0.764139,0.668171,0.095968,0.095968,0.002196,0.196757,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_lift,120,120,120,0,0.741667,2.362784,1.779974,0.58281,0.58281,-0.625189,2.026875,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,120,120,120,0,0.741667,0.471837,0.355496,0.116341,0.116341,-0.125,0.4025,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,120,120,120,0,0.741667,0.036877,0.022977,0.0139,0.0139,-0.014972,0.051282,,biosnap,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,85,85,120,35,0.541176,0.345056,0.323359,0.021697,0.021697,-0.228546,0.303185,,human,
dataset,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,85,85,120,35,0.564706,0.686595,0.632561,0.054034,0.054034,-0.269126,0.338251,,human,
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_lift,85,85,120,35,0.494118,1.970592,1.80321,0.167382,0.167382,-1.654759,1.704167,,human,
dataset,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,85,85,120,35,0.494118,0.393157,0.360056,0.033101,0.033101,-0.327273,0.333333,,human,
dataset,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,85,85,120,35,0.494118,0.039133,0.031038,0.008096,0.008096,-0.04874,0.067486,,human,
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,84,84,120,36,0.940476,0.430503,0.322593,0.107911,0.107911,-0.01663,0.269252,,,DrugBAN
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,84,84,120,36,0.952381,0.751058,0.670768,0.08029,0.08029,-0.040984,0.189187,,,DrugBAN
model,U2+E2 - U2,U2+E2 - U2,ok,review_lift,84,84,120,36,0.738095,2.072202,1.593516,0.478686,0.478686,-0.529899,1.978947,,,DrugBAN
model,U2+E2 - U2,U2+E2 - U2,ok,review_recall_of_residual_errors,84,84,120,36,0.738095,0.414741,0.319033,0.095708,0.095708,-0.105925,0.4,,,DrugBAN
model,U2+E2 - U2,U2+E2 - U2,ok,retained_accuracy_gain_vs_residual,84,84,120,36,0.738095,0.048731,0.027961,0.02077,0.02077,-0.022653,0.078551,,,DrugBAN
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auprc,109,109,120,11,0.577982,0.316497,0.289709,0.026788,0.026788,-0.2171,0.788194,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,error_detection_auroc,109,109,120,11,0.605505,0.723879,0.698692,0.025186,0.025186,-0.269887,0.270312,,,PACE
model,U2+E2 - U2,U2+E2 - U2,ok,review_lift,113,113,120,7,0.530973,2.214064,1.876606,0.337458,0.337458,-1.415853,2.820513,,,PACE
