model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,comparison,metric,delta,selected_v2_profile
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.000818,
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.002725,
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.001479,
TAPB,biosnap,seed_5,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.028613,
TAPB,biosnap,seed_5,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.001058,
TAPB,biosnap,seed_5,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.006386,
TAPB,biosnap,seed_6,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_6,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.000109,
TAPB,biosnap,seed_6,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_6,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.009194,
TAPB,biosnap,seed_6,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_6,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.000134,
TAPB,biosnap,seed_6,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_6,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.011146,
TAPB,biosnap,seed_7,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.000866,
TAPB,biosnap,seed_7,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_7,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_7,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_7,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.021031,
TAPB,biosnap,seed_7,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_7,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_7,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_8,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.084265,
TAPB,biosnap,seed_8,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.021344,
TAPB,biosnap,seed_8,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,biosnap,seed_8,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.000661,
TAPB,biosnap,seed_8,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.066394,
TAPB,biosnap,seed_8,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.017117,
TAPB,biosnap,seed_8,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.012626,
TAPB,biosnap,seed_8,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,,
