model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,uncertainty_error_detection_auprc,uncertainty_review_error_rate,uncertainty_combined_recall_of_candidate_errors,uncertainty_retained_accuracy_gain_vs_residual,uncertainty_deduplicated_error_detection_auprc,uncertainty_deduplicated_review_error_rate,uncertainty_deduplicated_combined_recall_of_candidate_errors,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,transfer_type,held_out_domain,transferred_profile,delta_error_detection_auprc_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
TAPB,bindingdb,seed_6,target,base,0.9,0.1,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
TAPB,bindingdb,seed_6,target,base,0.9,0.2,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
TAPB,bindingdb,seed_7,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,165,42.0,0.254545,0.73403,0.444306,33,11.0,0.333333,1.309524,0.261905,0.38,0.765152,0.019697,,,,,,,,,,,,,,0.376664,0.363636,0.4,0.027273,,,,,leave_one_dataset_out,bindingdb,prior,0.067642,,-0.030303,,-0.02,,-0.007576,
TAPB,bindingdb,seed_7,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,146,35.0,0.239726,0.74955,0.414766,29,12.0,0.413793,1.726108,0.342857,0.54,0.803419,0.043145,,,,,,,,,,,,,,0.334601,0.275862,0.46,0.008957,,,,,leave_one_dataset_out,bindingdb,prior,0.080165,,0.137931,,0.08,,0.034188,
TAPB,bindingdb,seed_7,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,102,19.0,0.186275,0.823716,0.544941,20,9.0,0.45,2.415789,0.473684,0.6,0.878049,0.064323,,,,,,,,,,,,,,0.276861,0.3,0.48,0.027738,,,,,leave_one_dataset_out,bindingdb,prior,0.26808,,0.15,,0.12,,0.036585,
TAPB,bindingdb,seed_7,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,90,16.0,0.177778,0.863176,0.508018,18,8.0,0.444444,2.5,0.5,0.68,0.888889,0.066667,,,,,,,,,,,,,,0.329972,0.277778,0.56,0.025,,,,,leave_one_dataset_out,bindingdb,prior,0.178046,,0.166666,,0.12,,0.041667,
TAPB,bindingdb,seed_8,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,268,94.0,0.350746,0.667523,0.533973,54,32.0,0.592593,1.689519,0.340426,0.441441,0.71028,0.061027,,,,,,,,,,,,,,0.406113,0.425926,0.36036,0.018971,,,,,leave_one_dataset_out,bindingdb,prior,0.12786,,0.166667,,0.081081,,0.042056,
TAPB,bindingdb,seed_8,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,238,79.0,0.331933,0.664119,0.47713,48,23.0,0.479167,1.443565,0.291139,0.495495,0.705263,0.037196,,,,,,,,,,,,,,0.359111,0.375,0.45045,0.01088,,,,,leave_one_dataset_out,bindingdb,prior,0.118019,,0.104167,,0.045045,,0.026316,
TAPB,bindingdb,seed_8,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,204,66.0,0.323529,0.670729,0.460969,41,18.0,0.439024,1.356984,0.272727,0.368421,0.705521,0.029051,,,,,,,,,,,,,,0.362211,0.390244,0.342105,0.016781,,,,,leave_one_dataset_out,bindingdb,prior,0.098758,,0.04878,,0.026316,,0.01227,
TAPB,bindingdb,seed_8,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,182,57.0,0.313187,0.659649,0.446911,36,16.0,0.444444,1.419103,0.280702,0.460526,0.719178,0.032365,,,,,,,,,,,,,,0.348947,0.388889,0.434211,0.018666,,,,,leave_one_dataset_out,bindingdb,prior,0.097964,,0.055555,,0.026315,,0.013699,
