model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes,residual_error_warning,residual_error_warning_reason
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,validation,cross_fitted,23,1.0,2,0.0,21,1.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,test,fitted,4,0.0,0,0.0,4,0.0,False,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,validation,cross_fitted,23,1.0,5,0.0,18,1.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,test,fitted,4,0.0,1,0.0,3,0.0,False,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,validation,cross_fitted,227,31.0,23,7.0,204,24.0,True,False,
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,test,fitted,53,6.0,5,0.0,48,6.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,validation,cross_fitted,227,31.0,45,10.0,182,21.0,True,False,
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,test,fitted,53,6.0,11,2.0,42,4.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,validation,cross_fitted,23,1.0,2,0.0,21,1.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,test,fitted,4,0.0,0,0.0,4,0.0,False,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,validation,cross_fitted,23,1.0,5,0.0,18,1.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,test,fitted,4,0.0,1,0.0,3,0.0,False,True,residual_error_count_lt_10
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,validation,cross_fitted,327,63.0,33,8.0,294,55.0,True,False,
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,test,fitted,76,19.0,8,3.0,68,16.0,True,False,
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,327,63.0,65,12.0,262,51.0,True,False,
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,test,fitted,76,19.0,15,6.0,61,13.0,True,False,
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,66,4.0,7,0.0,59,4.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,test,fitted,12,0.0,1,0.0,11,0.0,False,True,residual_error_count_lt_10
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,66,4.0,13,0.0,53,4.0,True,True,residual_error_count_lt_10
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,test,fitted,12,0.0,2,0.0,10,0.0,False,True,residual_error_count_lt_10
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,327,63.0,33,6.0,294,57.0,True,False,
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,test,fitted,76,19.0,8,3.0,68,16.0,True,False,
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,327,63.0,65,17.0,262,46.0,True,False,
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,test,fitted,76,19.0,15,6.0,61,13.0,True,False,
