group_axis,review_fraction,method,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
target,0.2,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.01961906384,-0.00772198892,0.048248881665,40,0.7
target,0.2,native_density,delta_error_detection_auprc_vs_pause,-0.106360049785,-0.184782751773,-0.007895282331,43,0.093023255814
target,0.2,native_density,delta_review_error_rate_vs_pause,-0.17260254145,-0.223792124245,-0.114240067778,40,0.075
target,0.2,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.178665997191,-0.235084109715,-0.114457722877,40,0.075
target,0.2,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.043201157607,-0.055926348189,-0.028802342464,40,0.075
target,0.2,native_max_shift,delta_error_detection_auprc_vs_pause,-0.110631106974,-0.184415613572,-0.017919385603,43,0.116279069767
target,0.2,native_max_shift,delta_review_error_rate_vs_pause,-0.171738843936,-0.219231402882,-0.120177879804,40,0.05
target,0.2,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.1819740079,-0.237606393148,-0.122038559968,40,0.05
target,0.2,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.04297639275,-0.054724132375,-0.030328532286,40,0.05
target,0.2,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.039332484303,-0.075748291029,-0.009016323236,43,0.209302325581
target,0.2,raw_uncertainty,delta_review_error_rate_vs_pause,-0.028974067422,-0.062529941312,-0.003017842726,40,0.175
target,0.2,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.032626308724,-0.063283798369,-0.005827836455,40,0.2
target,0.2,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.007266496802,-0.015777218141,-0.000877194642,40,0.175
target,0.3,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.126364083076,-0.02333692719,0.253342931949,41,0.682926829268
target,0.3,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.061524555207,-0.015010852487,0.146701645266,40,0.675
target,0.3,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.082480855465,-0.020668577919,0.177829947286,40,0.675
target,0.3,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.026424126592,-0.006202143566,0.063112942847,40,0.675
target,0.3,native_density,delta_error_detection_auprc_vs_pause,-0.106360049785,-0.184782751773,-0.007895282331,43,0.093023255814
target,0.3,native_density,delta_review_error_rate_vs_pause,-0.145604561113,-0.188627318435,-0.097148992881,40,0.05
