model,dataset,test_run,group_axis,review_fraction,delta_error_detection_auroc_vs_uncertainty,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_review_lift_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_after_review_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_error_detection_auroc_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_deduplicated_review_lift_vs_uncertainty,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,biosnap,seed_6,target,0.1,0.04190888924,0.058139086661,0.038865546218,0.263703208556,0.026278409091,0.016774891775,0.004296751814,0.004296751814,,,,,,,,
DrugBAN,biosnap,seed_6,target,0.2,0.04190888924,0.058139086661,0.029135338346,0.192733253588,0.03851010101,0.024350649351,0.00727294229,0.00727294229,,,,,,,,
DrugBAN,biosnap,seed_6,target,0.3,0.04190888924,0.058139086661,0.039110275689,0.211957735247,0.063446969697,0.049242424242,0.016707414861,0.016707414861,,,,,,,,
DrugBAN,biosnap,seed_7,drug,0.05,0.209658306408,0.357404162594,0.492857142857,1.738993685248,0.083386018984,0.067682088868,0.024836880905,0.024836880905,,,,,,,,
DrugBAN,biosnap,seed_7,drug,0.1,0.209658306408,0.357404162594,0.440056818182,1.554826856291,0.154872764153,0.126889601466,0.048665897202,0.048665897202,,,,,,,,
DrugBAN,biosnap,seed_7,drug,0.2,0.209658306408,0.357404162594,0.367750783699,1.300551516322,0.258784234697,0.209803023362,0.091362694503,0.091362694503,,,,,,,,
DrugBAN,biosnap,seed_7,drug,0.3,0.209658306408,0.357404162594,0.272444717444,0.970978055714,0.293845437862,0.23934951901,0.118224188989,0.118224188989,,,,,,,,
DrugBAN,biosnap,seed_7,target,0.05,0.103787969396,0.130659614003,0.26130952381,0.916626300468,0.043857511657,0.034699954192,0.013139415397,0.013139415397,,,,,,,,
DrugBAN,biosnap,seed_7,target,0.1,0.103787969396,0.130659614003,0.141856060606,0.497570075574,0.049343405074,0.041456710948,0.01562078422,0.01562078422,,,,,,,,
DrugBAN,biosnap,seed_7,target,0.2,0.103787969396,0.130659614003,0.145376175548,0.511848417528,0.101816118297,0.082913421896,0.036104665723,0.036104665723,,,,,,,,
DrugBAN,biosnap,seed_7,target,0.3,0.103787969396,0.130659614003,0.117495904996,0.418432985751,0.126633255183,0.103183692167,0.050988244268,0.050988244268,,,,,,,,
DrugBAN,biosnap,seed_8,drug,0.05,0.185942447507,0.29850342904,0.225198412698,1.655326903489,0.084702062644,0.057773109244,0.012157011826,0.012157011826,,,,,,,,
DrugBAN,biosnap,seed_8,drug,0.1,0.185942447507,0.29850342904,0.43731617647,3.129979946524,0.313168449198,0.220588235294,0.048550766948,0.048550766948,,,,,,,,
DrugBAN,biosnap,seed_8,drug,0.2,0.185942447507,0.29850342904,0.25754608295,1.847255265742,0.371800993125,0.260504201681,0.064869238091,0.064869238091,,,,,,,,
DrugBAN,biosnap,seed_8,drug,0.3,0.185942447507,0.29850342904,0.111698114108,0.785605529391,0.234959893048,0.170168067227,0.047674267795,0.047674267795,,,,,,,,
DrugBAN,biosnap,seed_8,target,0.05,0.035314803777,0.010479417213,-0.055555555556,-0.345238095238,-0.017857142857,-0.014705882353,-0.00303030303,-0.00303030303,,,,,,,,
DrugBAN,biosnap,seed_8,target,0.1,0.035314803777,0.010479417213,0.085714285714,0.639915966386,0.063502673797,0.039915966387,0.009427941518,0.009427941518,,,,,,,,
DrugBAN,biosnap,seed_8,target,0.2,0.035314803777,0.010479417213,0.030414746544,0.20167873601,0.040584415584,0.029411764706,0.007662162953,0.007662162953,,,,,,,,
DrugBAN,biosnap,seed_8,target,0.3,0.035314803777,0.010479417213,0.00957969655,0.056465482228,0.016949961803,0.013130252101,0.00410149037,0.00410149037,,,,,,,,
DrugBAN,human,seed_4,drug,0.05,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_4,drug,0.1,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_4,drug,0.2,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_4,drug,0.3,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_4,target,0.05,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_4,target,0.1,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_4,target,0.2,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_4,target,0.3,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_5,drug,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_5,drug,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_5,drug,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_5,drug,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_5,target,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_5,target,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_5,target,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_5,target,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_6,drug,0.05,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_6,drug,0.1,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_6,drug,0.2,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_6,drug,0.3,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_6,target,0.05,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_6,target,0.1,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_6,target,0.2,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_6,target,0.3,0.0,0.0,,,,,,,0.0,0.0,,,,,,
DrugBAN,human,seed_7,drug,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_7,drug,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_7,drug,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_7,drug,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_7,target,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_7,target,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_7,target,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_7,target,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_8,drug,0.05,-0.037261904762,-0.031335304859,-0.083333333333,-0.678571428572,-0.035714285714,-0.017857142857,-0.00462962963,-0.00462962963,-0.044817712887,-0.032173006488,-0.125,-0.892857142857,-0.035714285714,-0.017857142857,-0.005208333333,-0.005208333333
DrugBAN,human,seed_8,drug,0.1,-0.037261904762,-0.031335304859,-0.05,-0.6125,-0.0625,-0.025,-0.005681818182,-0.005681818182,-0.044817712887,-0.032173006488,-0.0625,-0.65625,-0.0625,-0.025,-0.006578947368,-0.006578947368
DrugBAN,human,seed_8,drug,0.2,-0.037261904762,-0.031335304859,-0.022727272727,-0.185064935065,-0.035714285714,-0.017857142857,-0.005434782609,-0.005434782609,-0.044817712887,-0.032173006488,0.0,0.0,0.0,0.0,0.0,0.0
DrugBAN,human,seed_8,drug,0.3,-0.037261904762,-0.031335304859,0.001960784314,0.084418767507,0.026785714286,0.007142857143,0.001102941176,0.001102941176,-0.044817712887,-0.032173006488,0.002564102564,0.082875457875,0.026785714286,0.007142857143,0.001477832512,0.001477832512
DrugBAN,human,seed_8,target,0.05,0.040277777778,0.068943931903,0.125,1.53125,0.0625,0.025,0.005319148936,0.005319148936,0.027960526316,0.066212964903,0.125,1.3125,0.0625,0.025,0.00625,0.00625
DrugBAN,human,seed_8,target,0.1,0.040277777778,0.068943931903,0.05,0.6125,0.0625,0.025,0.005681818182,0.005681818182,0.027960526316,0.066212964903,0.0625,0.65625,0.0625,0.025,0.006578947368,0.006578947368
DrugBAN,human,seed_8,target,0.2,0.040277777778,0.068943931903,0.025,0.30625,0.0625,0.025,0.00641025641,0.00641025641,0.027960526316,0.066212964903,0.03125,0.328125,0.0625,0.025,0.007352941176,0.007352941176
DrugBAN,human,seed_8,target,0.3,0.040277777778,0.068943931903,0.016666666667,0.204166666667,0.0625,0.025,0.007352941176,0.007352941176,0.027960526316,0.066212964903,0.019230769231,0.201923076923,0.0625,0.025,0.008620689655,0.008620689655
PACE,bindingdb,seed_4,drug,0.05,0.267815599156,0.206107200848,0.286111111111,1.732513096223,0.089629859388,0.069349593496,0.015606308593,0.015606308593,,,,,,,,
PACE,bindingdb,seed_4,drug,0.1,0.267815599156,0.206107200848,0.257546439628,1.503645968041,0.149293493245,0.118699186992,0.028325890375,0.028325890375,,,,,,,,
PACE,bindingdb,seed_4,drug,0.2,0.267815599156,0.206107200848,0.228846153846,1.365255207404,0.272790874,0.217479674797,0.057147424187,0.057147424187,,,,,,,,
PACE,bindingdb,seed_4,drug,0.3,0.267815599156,0.206107200848,0.169791415481,1.050458551044,0.314726357872,0.244715447154,0.072783492639,0.072783492639,,,,,,,,
PACE,bindingdb,seed_4,target,0.05,0.000267094017,0.010715693714,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
PACE,bindingdb,seed_4,target,0.1,0.000267094017,0.010715693714,-0.03125,-0.204326923077,-0.019230769231,-0.016666666667,-0.003246753247,-0.003246753247,,,,,,,,
PACE,bindingdb,seed_4,target,0.2,0.000267094017,0.010715693714,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
PACE,bindingdb,seed_4,target,0.3,0.000267094017,0.010715693714,-0.009615384616,-0.062869822485,-0.019230769231,-0.016666666667,-0.004237288135,-0.004237288135,,,,,,,,
PACE,bindingdb,seed_5,drug,0.05,0.281971349318,0.516946140326,0.5,8.592045454546,0.529004329004,0.277027027027,0.031001634809,0.031001634809,,,,,,,,
PACE,bindingdb,seed_5,drug,0.1,0.281971349318,0.516946140326,0.258823529412,4.350534759358,0.418722943723,0.207207207207,0.027649995648,0.027649995648,,,,,,,,
PACE,bindingdb,seed_5,drug,0.2,0.281971349318,0.516946140326,0.186204481793,2.366768525592,0.477597402597,0.261261261261,0.04710129906,0.04710129906,,,,,,,,
PACE,bindingdb,seed_5,drug,0.3,0.281971349318,0.516946140326,0.147222222222,1.700353535354,0.507034632035,0.288288288288,0.062555488297,0.062555488297,,,,,,,,
PACE,bindingdb,seed_5,target,0.05,0.0703125,0.194444444444,0.25,4.25,0.25,0.166666666667,0.015625,0.015625,,,,,,,,
PACE,bindingdb,seed_5,target,0.1,0.0703125,0.194444444444,0.083333333333,1.416666666667,0.125,0.083333333333,0.008064516129,0.008064516129,,,,,,,,
PACE,bindingdb,seed_5,target,0.2,0.0703125,0.194444444444,0.035714285714,0.607142857143,0.125,0.083333333333,0.009259259259,0.009259259259,,,,,,,,
PACE,bindingdb,seed_5,target,0.3,0.0703125,0.194444444444,0.025,0.425,0.125,0.083333333333,0.010416666667,0.010416666667,,,,,,,,
PACE,bindingdb,seed_6,drug,0.05,0.182696324144,0.12413105902,0.0,-0.625,-0.041666666666,0.0,-0.001630434783,-0.001630434783,,,,,,,,
PACE,bindingdb,seed_6,drug,0.1,0.182696324144,0.12413105902,0.1,0.8,0.083333333334,0.083333333334,0.011627906976,0.011627906976,,,,,,,,
PACE,bindingdb,seed_6,drug,0.2,0.182696324144,0.12413105902,0.1125,1.05625,0.208333333334,0.166666666667,0.02786377709,0.02786377709,,,,,,,,
PACE,bindingdb,seed_6,drug,0.3,0.182696324144,0.12413105902,0.10989010989,0.975274725274,0.291666666666,0.25,0.046653144016,0.046653144016,,,,,,,,
PACE,bindingdb,seed_6,target,0.05,0.09126984127,0.045052253838,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
